bug_id,summary,description,severity,component,priority
1000,IDE freezes completely when opening any workspace (case #0),"Steps to reproduce: open the IDE, perform action 0. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P1
1001,IDE freezes completely when opening any workspace (case #1),"Steps to reproduce: open the IDE, perform action 1. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Debug,P2
1002,Application crashes on startup with NullPointerException (case #2),"Steps to reproduce: open the IDE, perform action 2. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P1
1003,IDE freezes completely when opening any workspace (case #3),"Steps to reproduce: open the IDE, perform action 3. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Search,P5
1004,Application crashes on startup with NullPointerException (case #4),"Steps to reproduce: open the IDE, perform action 4. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Build,P4
1005,Application crashes on startup with NullPointerException (case #5),"Steps to reproduce: open the IDE, perform action 5. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,UI,P1
1006,Application crashes on startup with NullPointerException (case #6),"Steps to reproduce: open the IDE, perform action 6. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P5
1007,IDE freezes completely when opening any workspace (case #7),"Steps to reproduce: open the IDE, perform action 7. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P5
1008,Application crashes on startup with NullPointerException (case #8),"Steps to reproduce: open the IDE, perform action 8. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P5
1009,"Entire build fails, cannot compile the project (case #9)","Steps to reproduce: open the IDE, perform action 9. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Core,P4
1010,IDE freezes completely when opening any workspace (case #10),"Steps to reproduce: open the IDE, perform action 10. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Debug,P1
1011,Application crashes on startup with NullPointerException (case #11),"Steps to reproduce: open the IDE, perform action 11. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P4
1012,"Entire build fails, cannot compile the project (case #12)","Steps to reproduce: open the IDE, perform action 12. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Debug,P2
1013,Application crashes on startup with NullPointerException (case #13),"Steps to reproduce: open the IDE, perform action 13. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Debug,P1
1014,Application crashes on startup with NullPointerException (case #14),"Steps to reproduce: open the IDE, perform action 14. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Editor,P1
1015,"Entire build fails, cannot compile the project (case #15)","Steps to reproduce: open the IDE, perform action 15. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Debug,P5
1016,"Entire build fails, cannot compile the project (case #16)","Steps to reproduce: open the IDE, perform action 16. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,UI,P4
1017,IDE freezes completely when opening any workspace (case #17),"Steps to reproduce: open the IDE, perform action 17. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P4
1018,Application crashes on startup with NullPointerException (case #18),"Steps to reproduce: open the IDE, perform action 18. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Build,P3
1019,IDE freezes completely when opening any workspace (case #19),"Steps to reproduce: open the IDE, perform action 19. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Build,P3
1020,IDE freezes completely when opening any workspace (case #20),"Steps to reproduce: open the IDE, perform action 20. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Core,P1
1021,Application crashes on startup with NullPointerException (case #21),"Steps to reproduce: open the IDE, perform action 21. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P2
1022,"Entire build fails, cannot compile the project (case #22)","Steps to reproduce: open the IDE, perform action 22. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,UI,P2
1023,Application crashes on startup with NullPointerException (case #23),"Steps to reproduce: open the IDE, perform action 23. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Editor,P3
1024,"Entire build fails, cannot compile the project (case #24)","Steps to reproduce: open the IDE, perform action 24. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Search,P3
1025,Application crashes on startup with NullPointerException (case #25),"Steps to reproduce: open the IDE, perform action 25. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Debug,P3
1026,Application crashes on startup with NullPointerException (case #26),"Steps to reproduce: open the IDE, perform action 26. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P3
1027,IDE freezes completely when opening any workspace (case #27),"Steps to reproduce: open the IDE, perform action 27. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Search,P1
1028,IDE freezes completely when opening any workspace (case #28),"Steps to reproduce: open the IDE, perform action 28. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Search,P2
1029,IDE freezes completely when opening any workspace (case #29),"Steps to reproduce: open the IDE, perform action 29. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Search,P2
1030,Application crashes on startup with NullPointerException (case #30),"Steps to reproduce: open the IDE, perform action 30. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Editor,P4
1031,"Entire build fails, cannot compile the project (case #31)","Steps to reproduce: open the IDE, perform action 31. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Search,P5
1032,Application crashes on startup with NullPointerException (case #32),"Steps to reproduce: open the IDE, perform action 32. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P3
1033,Application crashes on startup with NullPointerException (case #33),"Steps to reproduce: open the IDE, perform action 33. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P1
1034,"Entire build fails, cannot compile the project (case #34)","Steps to reproduce: open the IDE, perform action 34. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Editor,P3
1035,Application crashes on startup with NullPointerException (case #35),"Steps to reproduce: open the IDE, perform action 35. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P5
1036,IDE freezes completely when opening any workspace (case #36),"Steps to reproduce: open the IDE, perform action 36. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Debug,P2
1037,IDE freezes completely when opening any workspace (case #37),"Steps to reproduce: open the IDE, perform action 37. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Editor,P4
1038,IDE freezes completely when opening any workspace (case #38),"Steps to reproduce: open the IDE, perform action 38. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Editor,P2
1039,"Entire build fails, cannot compile the project (case #39)","Steps to reproduce: open the IDE, perform action 39. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Core,P2
1040,Critical security vulnerability in login handler (case #0),"Steps to reproduce: open the IDE, perform action 0. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Build,P5
1041,Memory leak causes out of memory after long session (case #1),"Steps to reproduce: open the IDE, perform action 1. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Search,P5
1042,Memory leak causes out of memory after long session (case #2),"Steps to reproduce: open the IDE, perform action 2. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Build,P4
1043,Memory leak causes out of memory after long session (case #3),"Steps to reproduce: open the IDE, perform action 3. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Core,P2
1044,Critical security vulnerability in login handler (case #4),"Steps to reproduce: open the IDE, perform action 4. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Editor,P1
1045,Data loss when saving large files in editor (case #5),"Steps to reproduce: open the IDE, perform action 5. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,UI,P2
1046,Critical security vulnerability in login handler (case #6),"Steps to reproduce: open the IDE, perform action 6. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Core,P4
1047,Critical security vulnerability in login handler (case #7),"Steps to reproduce: open the IDE, perform action 7. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,UI,P4
1048,Memory leak causes out of memory after long session (case #8),"Steps to reproduce: open the IDE, perform action 8. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Build,P4
1049,Critical security vulnerability in login handler (case #9),"Steps to reproduce: open the IDE, perform action 9. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Debug,P5
1050,Data loss when saving large files in editor (case #10),"Steps to reproduce: open the IDE, perform action 10. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Search,P1
1051,Critical security vulnerability in login handler (case #11),"Steps to reproduce: open the IDE, perform action 11. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Build,P3
1052,Critical security vulnerability in login handler (case #12),"Steps to reproduce: open the IDE, perform action 12. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Debug,P1
1053,Memory leak causes out of memory after long session (case #13),"Steps to reproduce: open the IDE, perform action 13. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Editor,P2
1054,Memory leak causes out of memory after long session (case #14),"Steps to reproduce: open the IDE, perform action 14. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,UI,P3
1055,Critical security vulnerability in login handler (case #15),"Steps to reproduce: open the IDE, perform action 15. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Core,P5
1056,Data loss when saving large files in editor (case #16),"Steps to reproduce: open the IDE, perform action 16. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Search,P3
1057,Critical security vulnerability in login handler (case #17),"Steps to reproduce: open the IDE, perform action 17. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Build,P5
1058,Data loss when saving large files in editor (case #18),"Steps to reproduce: open the IDE, perform action 18. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Core,P3
1059,Data loss when saving large files in editor (case #19),"Steps to reproduce: open the IDE, perform action 19. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Build,P5
1060,Data loss when saving large files in editor (case #20),"Steps to reproduce: open the IDE, perform action 20. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Build,P3
1061,Memory leak causes out of memory after long session (case #21),"Steps to reproduce: open the IDE, perform action 21. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,UI,P1
1062,Memory leak causes out of memory after long session (case #22),"Steps to reproduce: open the IDE, perform action 22. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Debug,P2
1063,Data loss when saving large files in editor (case #23),"Steps to reproduce: open the IDE, perform action 23. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Core,P5
1064,Data loss when saving large files in editor (case #24),"Steps to reproduce: open the IDE, perform action 24. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,UI,P4
1065,Data loss when saving large files in editor (case #25),"Steps to reproduce: open the IDE, perform action 25. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Build,P2
1066,Data loss when saving large files in editor (case #26),"Steps to reproduce: open the IDE, perform action 26. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Search,P4
1067,Critical security vulnerability in login handler (case #27),"Steps to reproduce: open the IDE, perform action 27. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Core,P3
1068,Critical security vulnerability in login handler (case #28),"Steps to reproduce: open the IDE, perform action 28. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Build,P4
1069,Data loss when saving large files in editor (case #29),"Steps to reproduce: open the IDE, perform action 29. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Build,P2
1070,Critical security vulnerability in login handler (case #30),"Steps to reproduce: open the IDE, perform action 30. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Debug,P4
1071,Critical security vulnerability in login handler (case #31),"Steps to reproduce: open the IDE, perform action 31. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Search,P3
1072,Memory leak causes out of memory after long session (case #32),"Steps to reproduce: open the IDE, perform action 32. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,Build,P4
1073,Data loss when saving large files in editor (case #33),"Steps to reproduce: open the IDE, perform action 33. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Core,P2
1074,Data loss when saving large files in editor (case #34),"Steps to reproduce: open the IDE, perform action 34. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Debug,P1
1075,Critical security vulnerability in login handler (case #35),"Steps to reproduce: open the IDE, perform action 35. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Build,P2
1076,Critical security vulnerability in login handler (case #36),"Steps to reproduce: open the IDE, perform action 36. Expected: normal behaviour. Actual: critical security vulnerability in login handler.",Critical,Core,P1
1077,Data loss when saving large files in editor (case #37),"Steps to reproduce: open the IDE, perform action 37. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,Search,P1
1078,Data loss when saving large files in editor (case #38),"Steps to reproduce: open the IDE, perform action 38. Expected: normal behaviour. Actual: data loss when saving large files in editor.",Critical,UI,P1
1079,Memory leak causes out of memory after long session (case #39),"Steps to reproduce: open the IDE, perform action 39. Expected: normal behaviour. Actual: memory leak causes out of memory after long session.",Critical,UI,P5
1080,Incorrect compilation error shown for valid Java code (case #0),"Steps to reproduce: open the IDE, perform action 0. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Debug,P4
1081,Incorrect compilation error shown for valid Java code (case #1),"Steps to reproduce: open the IDE, perform action 1. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P2
1082,Debugger fails to hit breakpoints in inner classes (case #2),"Steps to reproduce: open the IDE, perform action 2. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Build,P5
1083,Refactoring tool renames unrelated variables (case #3),"Steps to reproduce: open the IDE, perform action 3. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Core,P4
1084,Refactoring tool renames unrelated variables (case #4),"Steps to reproduce: open the IDE, perform action 4. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Core,P1
1085,Incorrect compilation error shown for valid Java code (case #5),"Steps to reproduce: open the IDE, perform action 5. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Search,P4
1086,Refactoring tool renames unrelated variables (case #6),"Steps to reproduce: open the IDE, perform action 6. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Editor,P4
1087,Refactoring tool renames unrelated variables (case #7),"Steps to reproduce: open the IDE, perform action 7. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Search,P1
1088,Debugger fails to hit breakpoints in inner classes (case #8),"Steps to reproduce: open the IDE, perform action 8. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Search,P1
1089,Incorrect compilation error shown for valid Java code (case #9),"Steps to reproduce: open the IDE, perform action 9. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Editor,P3
1090,Incorrect compilation error shown for valid Java code (case #10),"Steps to reproduce: open the IDE, perform action 10. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Core,P2
1091,Incorrect compilation error shown for valid Java code (case #11),"Steps to reproduce: open the IDE, perform action 11. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P4
1092,Incorrect compilation error shown for valid Java code (case #12),"Steps to reproduce: open the IDE, perform action 12. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Editor,P2
1093,Refactoring tool renames unrelated variables (case #13),"Steps to reproduce: open the IDE, perform action 13. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Editor,P2
1094,Incorrect compilation error shown for valid Java code (case #14),"Steps to reproduce: open the IDE, perform action 14. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Editor,P5
1095,Incorrect compilation error shown for valid Java code (case #15),"Steps to reproduce: open the IDE, perform action 15. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,UI,P5
1096,Incorrect compilation error shown for valid Java code (case #16),"Steps to reproduce: open the IDE, perform action 16. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,UI,P2
1097,Incorrect compilation error shown for valid Java code (case #17),"Steps to reproduce: open the IDE, perform action 17. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Editor,P4
1098,Refactoring tool renames unrelated variables (case #18),"Steps to reproduce: open the IDE, perform action 18. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Core,P4
1099,Incorrect compilation error shown for valid Java code (case #19),"Steps to reproduce: open the IDE, perform action 19. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Core,P4
1100,Incorrect compilation error shown for valid Java code (case #20),"Steps to reproduce: open the IDE, perform action 20. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Editor,P3
1101,Refactoring tool renames unrelated variables (case #21),"Steps to reproduce: open the IDE, perform action 21. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Debug,P4
1102,Debugger fails to hit breakpoints in inner classes (case #22),"Steps to reproduce: open the IDE, perform action 22. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Search,P5
1103,Debugger fails to hit breakpoints in inner classes (case #23),"Steps to reproduce: open the IDE, perform action 23. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Search,P4
1104,Incorrect compilation error shown for valid Java code (case #24),"Steps to reproduce: open the IDE, perform action 24. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Core,P3
1105,Incorrect compilation error shown for valid Java code (case #25),"Steps to reproduce: open the IDE, perform action 25. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,UI,P5
1106,Debugger fails to hit breakpoints in inner classes (case #26),"Steps to reproduce: open the IDE, perform action 26. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Build,P1
1107,Debugger fails to hit breakpoints in inner classes (case #27),"Steps to reproduce: open the IDE, perform action 27. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Debug,P1
1108,Incorrect compilation error shown for valid Java code (case #28),"Steps to reproduce: open the IDE, perform action 28. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P4
1109,Debugger fails to hit breakpoints in inner classes (case #29),"Steps to reproduce: open the IDE, perform action 29. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Build,P2
1110,Incorrect compilation error shown for valid Java code (case #30),"Steps to reproduce: open the IDE, perform action 30. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P1
1111,Incorrect compilation error shown for valid Java code (case #31),"Steps to reproduce: open the IDE, perform action 31. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,UI,P5
1112,Incorrect compilation error shown for valid Java code (case #32),"Steps to reproduce: open the IDE, perform action 32. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Search,P2
1113,Refactoring tool renames unrelated variables (case #33),"Steps to reproduce: open the IDE, perform action 33. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,UI,P5
1114,Incorrect compilation error shown for valid Java code (case #34),"Steps to reproduce: open the IDE, perform action 34. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P5
1115,Incorrect compilation error shown for valid Java code (case #35),"Steps to reproduce: open the IDE, perform action 35. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Build,P1
1116,Refactoring tool renames unrelated variables (case #36),"Steps to reproduce: open the IDE, perform action 36. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Search,P5
1117,Debugger fails to hit breakpoints in inner classes (case #37),"Steps to reproduce: open the IDE, perform action 37. Expected: normal behaviour. Actual: debugger fails to hit breakpoints in inner classes.",Major,Build,P3
1118,Refactoring tool renames unrelated variables (case #38),"Steps to reproduce: open the IDE, perform action 38. Expected: normal behaviour. Actual: refactoring tool renames unrelated variables.",Major,Core,P3
1119,Incorrect compilation error shown for valid Java code (case #39),"Steps to reproduce: open the IDE, perform action 39. Expected: normal behaviour. Actual: incorrect compilation error shown for valid java code.",Major,Debug,P4
1120,Syntax highlighting wrong for multi-line strings (case #0),"Steps to reproduce: open the IDE, perform action 0. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Search,P3
1121,Autocomplete sometimes misses imports (case #1),"Steps to reproduce: open the IDE, perform action 1. Expected: normal behaviour. Actual: autocomplete sometimes misses imports.",Normal,Debug,P1
1122,Syntax highlighting wrong for multi-line strings (case #2),"Steps to reproduce: open the IDE, perform action 2. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Editor,P5
1123,Wizard dialog has minor layout issues on resize (case #3),"Steps to reproduce: open the IDE, perform action 3. Expected: normal behaviour. Actual: wizard dialog has minor layout issues on resize.",Normal,UI,P1
1124,Wizard dialog has minor layout issues on resize (case #4),"Steps to reproduce: open the IDE, perform action 4. Expected: normal behaviour. Actual: wizard dialog has minor layout issues on resize.",Normal,Core,P5
1125,Autocomplete sometimes misses imports (case #5),"Steps to reproduce: open the IDE, perform action 5. Expected: normal behaviour. Actual: autocomplete sometimes misses imports.",Normal,Core,P3
1126,Syntax highlighting wrong for multi-line strings (case #6),"Steps to reproduce: open the IDE, perform action 6. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Core,P3
1127,Autocomplete sometimes misses imports (case #7),"Steps to reproduce: open the IDE, perform action 7. Expected: normal behaviour. Actual: autocomplete sometimes misses imports.",Normal,Core,P4
1128,Wizard dialog has minor layout issues on resize (case #8),"Steps to reproduce: open the IDE, perform action 8. Expected: normal behaviour. Actual: wizard dialog has minor layout issues on resize.",Normal,Search,P3
1129,Wizard dialog has minor layout issues on resize (case #9),"Steps to reproduce: open the IDE, perform action 9. Expected: normal behaviour. Actual: wizard dialog has minor layout issues on resize.",Normal,Search,P5
1130,Syntax highlighting wrong for multi-line strings (case #10),"Steps to reproduce: open the IDE, perform action 10. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Search,P5
1131,Autocomplete sometimes misses imports (case #11),"Steps to reproduce: open the IDE, perform action 11. Expected: normal behaviour. Actual: autocomplete sometimes misses imports.",Normal,Search,P1
1132,Syntax highlighting wrong for multi-line strings (case #12),"Steps to reproduce: open the IDE, perform action 12. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Debug,P1
1133,Syntax highlighting wrong for multi-line strings (case #13),"Steps to reproduce: open the IDE, perform action 13. Expected: normal behaviour. Actual: syntax highlighting wrong for multi-line strings.",Normal,Search,P5
